order-date,product-name,cost-price,mrp,discount,selling-price
24-03-2023,tshirt,160.53,234.78,0.5,117.39
16-10-2022,trousers,103.32,289.67,0.38,179.6
27-09-2019,jacket,18.7,229.75,0.38,142.44
07-05-2020,dress,169.64,438.68,0.45,241.27
14-03-2024,jacket,151.41,212.35,0.34,140.15
07-01-2024,jeans,158.13,444.33,0.14,382.12
26-07-2023,blouse,171.23,299.45,0.44,167.69
09-06-2023,trousers,20.83,283.55,0.08,260.87
25-01-2021,tshirt,92.16,278.96,0.23,214.8
03-04-2024,jeans,163.3,249.75,0.1,224.78
20-10-2022,shirt,70.81,330.22,0.48,171.71
05-12-2023,jacket,36.09,64.19,0.27,46.86
22-07-2021,tshirt,172.95,227.06,0.16,190.73
05-10-2020,jeans,191.01,295.91,0.18,242.65
16-01-2021,shorts,17.62,266.93,0.21,210.87
27-06-2020,trousers,149.48,344.25,0.33,230.65
31-01-2021,shirt,124.69,129.78,0.29,92.14
25-11-2019,saree,140.88,263.14,0.39,160.52
12-07-2022,dress,185.97,280.77,0.23,216.19
25-11-2020,tshirt,74.37,159.59,0.06,150.01
13-01-2021,trousers,90.87,368.29,0.27,268.85
06-01-2024,shirt,125.26,386.7,0.29,274.56
17-08-2020,dress,62.03,269.86,0.26,199.7
25-01-2024,tshirt,150.06,397.36,0.16,333.78
08-07-2020,shorts,104.35,297.5,0.21,235.02
03-05-2022,dress,181.09,237.55,0.5,118.78
10-04-2021,shorts,117.91,226.66,0.1,203.99
13-01-2021,jeans,157.67,387.93,0.21,306.46
15-06-2024,jacket,79.67,94.78,0.4,56.87
11-06-2021,trousers,115.81,196.53,0.12,172.95
17-02-2020,saree,143.64,256.6,0.3,179.62
07-05-2023,shorts,186.4,389.08,0.14,334.61
22-01-2024,trousers,198.71,473.35,0.43,269.81
19-03-2024,trousers,151.07,320.4,0.08,294.77
25-06-2020,shorts,146.78,169.68,0.33,113.69
20-06-2021,jacket,122.87,343.1,0.34,226.45
29-06-2023,blouse,142.05,255.49,0.37,160.96
06-07-2020,dress,31.16,289.38,0.47,153.37
27-10-2021,shirt,33.22,55.13,0.24,41.9
15-06-2020,dress,65.18,346.38,0.4,207.83
08-03-2024,jacket,139.06,189.38,0.19,153.4
23-10-2019,skirt,127.46,422.77,0.14,363.58
19-01-2021,blouse,127.84,299.57,0.18,245.65
07-02-2024,saree,10.1,37,0.33,24.79
14-04-2022,saree,31.49,316.22,0.38,196.06
05-11-2023,tshirt,83.37,142.46,0.33,95.45
29-09-2021,skirt,22.92,308.65,0.28,222.23
18-05-2020,skirt,178.87,377.67,0.45,207.72
25-06-2020,jeans,83.66,110.27,0.07,102.55
02-04-2021,shorts,151.54,190.76,0.45,104.92
31-07-2023,dress,176.29,438.73,0.09,399.24
24-09-2023,jacket,48.52,167.1,0.35,108.62
09-03-2020,blouse,199.93,412.36,0.12,362.88
23-12-2020,shorts,163.5,350.21,0.43,199.62
22-09-2020,trousers,31.53,46.52,0.34,30.7
14-07-2020,blouse,23.3,281.22,0.41,165.92
07-12-2023,shorts,84.78,243.61,0.14,209.5
30-03-2022,saree,67.6,174.62,0.11,155.41
24-06-2023,jacket,98.78,317.75,0.25,238.31
16-06-2023,blouse,127.54,225.98,0.47,119.77
04-06-2022,blouse,164.82,287.58,0.06,270.33
03-06-2021,jeans,57.6,352.26,0.33,236.01
02-09-2023,tshirt,10.86,106.83,0.13,92.94
04-05-2021,jeans,184.14,407.76,0.13,354.75
01-06-2023,dress,174.02,355.65,0.4,213.39
11-12-2022,jacket,15.3,98.31,0.35,63.9
06-01-2020,dress,129.96,294.74,0.41,173.9
02-12-2023,saree,185.43,413.19,0.17,342.95
12-02-2024,dress,139.41,255.87,0.13,222.61
08-06-2020,shirt,121.29,238.33,0.47,126.31
07-04-2021,trousers,129.34,190.5,0.35,123.82
18-02-2024,jeans,153.62,248.25,0.36,158.88
24-05-2023,shorts,34.65,193.16,0.08,177.71
04-06-2022,shirt,177.07,360.6,0.2,288.48
14-04-2021,shorts,33.62,185.31,0.45,101.92
10-10-2022,dress,152.01,334.99,0.35,217.74
12-06-2020,jacket,138.5,159.73,0.18,130.98
16-05-2024,jeans,196.39,300.95,0.45,165.52
29-10-2019,skirt,118.6,356.27,0.11,317.08
15-09-2022,jeans,28.58,184.73,0.17,153.33
24-08-2022,blouse,152.15,193.75,0.24,147.25
07-08-2021,shorts,15.91,62.5,0.26,46.25
11-05-2022,shorts,31.96,54.01,0.08,49.69
23-04-2021,dress,155.22,191.71,0.34,126.53
19-04-2023,skirt,172.86,386.22,0.13,336.01
13-07-2020,jeans,21.57,250.66,0.31,172.96
16-03-2021,trousers,156.77,451.37,0.18,370.12
14-11-2022,saree,34.39,149.24,0.48,77.6
10-02-2023,shirt,137.39,189.44,0.24,143.97
03-09-2019,tshirt,16.7,227.3,0.41,134.11
10-02-2021,shirt,146.44,222.49,0.45,122.37
07-06-2023,dress,19.66,282.87,0.46,152.75
26-05-2020,trousers,190.55,261.29,0.09,237.77
20-11-2022,tshirt,152.31,306.98,0.27,224.1
08-03-2023,trousers,44.38,317.34,0.24,241.18
19-05-2022,jacket,131.35,320.59,0.48,166.71
20-11-2022,tshirt,36.02,169.62,0.36,108.56
11-11-2022,jeans,162.97,222.02,0.06,208.7
11-12-2021,skirt,196.08,354.71,0.22,276.67
23-07-2023,jeans,72.67,159.2,0.3,111.44
25-05-2020,dress,21.65,91.81,0.21,72.53
03-12-2022,jeans,104.34,233.11,0.46,125.88
21-10-2020,shirt,108.2,213.47,0.18,175.05
06-07-2023,tshirt,86.98,265.6,0.18,217.79
20-12-2021,tshirt,102.26,359.01,0.22,280.03
10-08-2021,saree,69.68,355.04,0.11,315.99
22-07-2021,blouse,183.11,448.05,0.4,268.83
19-02-2023,shorts,50.01,330.4,0.15,280.84
01-08-2021,tshirt,22.31,34.52,0.38,21.4
27-08-2022,dress,88.51,106.74,0.08,98.2
25-12-2022,skirt,30.68,222.35,0.28,160.09
14-08-2020,dress,196.15,348.03,0.33,233.18
29-03-2024,dress,161.63,451.77,0.31,311.72
18-01-2021,shirt,65.13,291.18,0.47,154.33
01-09-2019,shirt,194.57,432.07,0.48,224.68
15-12-2022,jacket,82.48,335.25,0.3,234.68
15-11-2023,saree,92.17,327.07,0.43,186.43
25-12-2019,jacket,173.17,215.95,0.45,118.77
29-02-2020,blouse,25.31,162.35,0.31,112.02
13-12-2022,trousers,192.48,217.69,0.19,176.33
02-02-2024,shorts,147.88,178.62,0.24,135.75
06-10-2021,jacket,64.28,258.65,0.47,137.08
10-01-2020,jacket,148.42,236.53,0.07,219.97
18-10-2022,dress,94.71,244.74,0.39,149.29
12-01-2022,shorts,129.43,216.11,0.42,125.34
06-06-2021,dress,95.12,378.56,0.26,280.13
06-07-2022,blouse,52.24,324.8,0.33,217.62
29-09-2020,blouse,126.51,348.13,0.1,313.32
20-08-2019,jacket,138.21,191.69,0.26,141.85
09-09-2019,dress,137.55,286.16,0.32,194.59
31-08-2022,skirt,193.42,401.89,0.14,345.63
01-01-2024,tshirt,96.42,280.89,0.19,227.52
24-07-2020,blouse,14.73,37.93,0.24,28.83
14-07-2023,shirt,193.72,239.61,0.22,186.9
31-10-2021,blouse,38.22,94.38,0.16,79.28
25-11-2020,blouse,151.68,370.15,0.46,199.88
10-01-2020,skirt,61.65,221.86,0.27,161.96
26-09-2022,shirt,132.77,145.9,0.37,91.92
31-07-2023,dress,110.57,273.24,0.35,177.61
22-10-2021,skirt,115.96,225.73,0.39,137.7
13-12-2019,dress,63.79,344.23,0.48,179
03-06-2024,jeans,80.41,364.55,0.32,247.89
02-04-2022,shorts,159.76,377.74,0.47,200.2
04-12-2021,skirt,47.93,344.74,0.06,324.06
30-10-2023,dress,36.2,127.08,0.5,63.54
06-09-2022,skirt,90.21,206.79,0.11,184.04
12-06-2021,shorts,124.58,155.06,0.1,139.55
29-07-2020,jeans,44.17,51.32,0.14,44.14
24-08-2020,jacket,38.14,331.81,0.28,238.9
18-05-2021,trousers,163.59,299.29,0.11,266.37
05-06-2021,shirt,54.28,341.99,0.4,205.19
28-01-2022,blouse,186.46,378.61,0.12,333.18
09-06-2020,trousers,176.9,391.78,0.24,297.75
14-05-2023,shorts,70.53,180.52,0.34,119.14
28-01-2022,shorts,71.78,309.44,0.47,164
02-05-2024,shirt,167.1,354.66,0.08,326.29
21-11-2021,shirt,78.65,96.05,0.05,91.25
16-04-2023,jeans,11.5,305.84,0.17,253.85
17-08-2022,dress,130.37,296.95,0.44,166.29
23-03-2022,saree,45.74,62.37,0.13,54.26
16-11-2022,saree,168.77,189.5,0.3,132.65
13-07-2022,tshirt,152.06,183.73,0.06,172.71
13-01-2024,trousers,22.56,221.64,0.23,170.66
25-04-2020,shirt,124.41,294.38,0.12,259.05
10-12-2023,trousers,147.22,414.43,0.38,256.95
26-05-2022,trousers,15.98,99.63,0.05,94.65
01-02-2024,blouse,130.37,284.53,0.38,176.41
13-08-2022,dress,96.28,336.28,0.08,309.38
15-03-2021,dress,172.93,303.25,0.24,230.47
20-12-2020,jeans,27.55,147.44,0.19,119.43
11-12-2021,skirt,124.25,228.43,0.21,180.46
15-12-2019,saree,89.26,143.07,0.43,81.55
05-10-2019,jeans,105.28,316.39,0.46,170.85
12-01-2022,dress,98.72,335.91,0.17,278.81
22-09-2021,jeans,15.51,128.49,0.42,74.52
07-04-2020,shirt,175.46,441.43,0.47,233.96
03-09-2020,dress,101.06,365.64,0.08,336.39
16-09-2020,saree,118.27,317.04,0.1,285.34
04-06-2023,skirt,60.05,144.2,0.34,95.17
04-06-2024,blouse,27.89,141.21,0.22,110.14
30-10-2021,shirt,69.07,284.45,0.25,213.34
08-04-2021,dress,153.58,165.23,0.29,117.31
09-06-2024,jacket,121.98,357,0.49,182.07
05-03-2022,jeans,63.99,157.08,0.43,89.54
08-05-2021,jacket,173.17,263.34,0.17,218.57
11-09-2023,blouse,182.6,332.14,0.14,285.64
13-08-2022,shirt,185.16,415.06,0.32,282.24
29-11-2021,skirt,127.08,408.78,0.27,298.41
16-04-2020,skirt,125.79,163.9,0.48,85.23
04-05-2020,blouse,13.43,305.66,0.26,226.19
01-08-2022,trousers,110.28,328.76,0.17,272.87
05-09-2019,shirt,18.08,129.7,0.15,110.24
07-12-2023,tshirt,65.63,102.41,0.39,62.47
04-03-2020,jeans,151,248.73,0.22,194.01
19-06-2024,jacket,112.44,241.87,0.05,229.78
17-12-2019,shorts,43,110.7,0.41,65.31
25-12-2019,shorts,50.34,314.79,0.08,289.61
01-02-2020,tshirt,184.91,278.74,0.22,217.42
13-05-2024,skirt,73.69,295.2,0.29,209.59
27-02-2024,shorts,121.3,244.47,0.4,146.68
09-09-2022,skirt,34.05,120.87,0.24,91.86
14-07-2020,saree,184.49,317.34,0.08,291.95
13-11-2019,jeans,120.1,210.95,0.13,183.53
20-05-2022,saree,178.91,349.69,0.28,251.78
04-06-2023,jacket,26.58,325.5,0.33,218.08
02-09-2020,skirt,74.56,328,0.27,239.44
06-02-2023,saree,164.48,432.34,0.14,371.81
05-02-2023,shirt,67.45,336.94,0.16,283.03
05-10-2019,dress,193.16,439.66,0.5,219.83
28-10-2020,saree,149.96,327.71,0.27,239.23
13-03-2022,shirt,25.12,182.71,0.08,168.09
18-10-2020,trousers,45.37,62.34,0.48,32.42
10-09-2023,dress,69.73,329.29,0.15,279.9
14-10-2019,jacket,49.73,292.88,0.32,199.16
09-09-2019,tshirt,91.85,253.07,0.19,204.99
12-07-2023,trousers,100.64,252.35,0.12,222.07
24-10-2021,jacket,29.97,201.36,0.21,159.07
16-12-2021,jeans,150.07,316.26,0.14,271.98
08-04-2022,jeans,163.68,412.85,0.31,284.87
20-03-2022,tshirt,13.34,168.33,0.43,95.95
16-06-2023,shorts,92.88,277.96,0.26,205.69
29-09-2020,blouse,70.39,340.64,0.1,306.58
14-01-2021,jacket,91.72,105.45,0.08,97.01
11-04-2024,saree,80.73,266.37,0.17,221.09
01-12-2022,trousers,108.91,124.07,0.35,80.65
28-04-2022,shorts,197.46,377.76,0.17,313.54
25-08-2020,jacket,62.55,267.93,0.4,160.76
06-04-2020,skirt,89.11,207.03,0.2,165.62
23-03-2024,dress,52.79,225.93,0.13,196.56
10-10-2022,dress,106.87,276.29,0.4,165.77
01-11-2021,jeans,71.7,238.09,0.08,219.04
15-09-2019,trousers,176.91,242.25,0.19,196.22
13-05-2024,saree,95.67,274.6,0.14,236.16
12-01-2024,jeans,51.57,295.69,0.16,248.38
14-09-2022,jeans,149.56,428.18,0.13,372.52
11-02-2020,jacket,143.35,219.1,0.11,195
08-05-2024,shirt,22.45,165.24,0.16,138.8
28-08-2020,blouse,192.87,374.77,0.42,217.37
28-05-2024,saree,107.4,115.81,0.33,77.59
30-01-2023,blouse,165.32,434.13,0.11,386.38
22-04-2022,tshirt,143.67,181.47,0.44,101.62
06-01-2023,shorts,147.01,274.57,0.13,238.88
02-01-2023,shirt,152.23,331.15,0.28,238.43
22-06-2021,saree,24.89,101.67,0.48,52.87
18-07-2020,blouse,196.91,456.73,0.24,347.11
02-11-2021,tshirt,39.39,266.37,0.48,138.51
07-02-2020,shirt,54.07,306.47,0.29,217.59
03-08-2020,shorts,133.48,344.86,0.15,293.13
26-06-2022,jacket,143.55,160.35,0.24,121.87
26-09-2019,shirt,167.03,340.25,0.13,296.02
08-09-2020,trousers,63.52,268.86,0.16,225.84
21-11-2020,dress,161.42,320.36,0.11,285.12
01-08-2021,shorts,52.59,218.9,0.46,118.21
06-08-2021,dress,183.8,278.69,0.13,242.46
28-05-2023,shirt,142.02,214.41,0.08,197.26
11-12-2022,jeans,74.11,357.55,0.18,293.19
06-05-2020,blouse,52.66,323.88,0.11,288.25
15-10-2022,skirt,181.54,239.11,0.38,148.25
25-01-2022,jacket,76.48,346.25,0.35,225.06
01-09-2023,trousers,12.35,295.91,0.21,233.77
25-03-2022,shirt,62.23,311.34,0.36,199.26
27-04-2020,shirt,94.02,362.28,0.42,210.12
23-08-2019,shirt,93.16,350.74,0.26,259.55
27-12-2019,shirt,11.17,221.9,0.48,115.39
22-04-2020,skirt,12.04,100.71,0.13,87.62
14-09-2020,shirt,49.6,204.47,0.44,114.5
13-01-2020,shorts,133.44,407.06,0.29,289.01
05-01-2022,dress,198.58,224.27,0.12,197.36
17-01-2020,trousers,110.7,143.04,0.38,88.68
11-07-2023,trousers,68.14,278.99,0.14,239.93
08-12-2023,trousers,189.6,479.12,0.07,445.58
01-02-2022,jeans,65.5,363.59,0.16,305.42
11-12-2020,shirt,132.87,370.7,0.06,348.46
09-10-2020,shirt,12.05,221.27,0.19,179.23
16-11-2019,jacket,33.61,159.97,0.32,108.78
05-04-2020,saree,121.58,138.57,0.41,81.76
18-04-2020,blouse,146.1,427.88,0.05,406.49
03-12-2022,shirt,77.02,200.46,0.43,114.26
21-12-2019,saree,50.48,338.34,0.24,257.14
01-06-2024,saree,183.13,237.82,0.29,168.85
07-08-2019,shorts,12.71,231.09,0.45,127.1
26-05-2022,dress,103.81,297.62,0.4,178.57
13-02-2021,jeans,61.31,264.35,0.16,222.05
19-12-2022,skirt,136.75,151.55,0.23,116.69
06-08-2021,jeans,116.05,324.62,0.18,266.19
21-09-2023,jeans,10.27,266.81,0.22,208.11
21-10-2019,blouse,114.13,252.81,0.06,237.64
17-07-2022,shirt,166.81,416.28,0.06,391.3
16-04-2022,dress,195.11,459.08,0.36,293.81
13-01-2023,shorts,100.17,150.4,0.44,84.22
13-01-2024,jeans,126.47,215.96,0.22,168.45
05-11-2020,jacket,97.35,176.01,0.45,96.81
12-09-2023,jeans,22.37,146.9,0.47,77.86
02-01-2022,shirt,173.51,257.3,0.39,156.95
20-09-2019,shorts,179.9,235.07,0.31,162.2
14-01-2020,shorts,111.13,333.05,0.19,269.77
17-09-2022,tshirt,91.13,334.52,0.37,210.75
24-03-2023,trousers,33.21,132.12,0.29,93.81
23-02-2024,skirt,62.13,260.13,0.08,239.32
22-03-2024,jacket,71.43,100.78,0.28,72.56
16-11-2021,shorts,16.91,295.26,0.13,256.88
28-07-2022,jeans,57.6,209.97,0.12,184.77
27-02-2021,saree,25.05,94.61,0.47,50.14
26-07-2019,saree,162.28,278.84,0.49,142.21
25-08-2020,shorts,43.34,91.12,0.18,74.72
04-10-2021,trousers,182.89,468.28,0.07,435.5
27-09-2021,skirt,164.34,289.11,0.27,211.05
29-12-2020,dress,105.01,353.74,0.14,304.22
20-04-2024,shorts,135.64,366.37,0.17,304.09
25-07-2023,jeans,130.59,297.4,0.18,243.87
16-04-2021,dress,120.96,240.77,0.37,151.69
18-08-2022,jacket,199.44,229.4,0.35,149.11
03-05-2023,trousers,173.43,433.91,0.48,225.63
20-01-2023,dress,109.07,116.22,0.47,61.6
13-05-2022,jacket,82.74,143.32,0.17,118.96
15-01-2021,shirt,98.85,245.03,0.13,213.18
02-12-2020,tshirt,189.3,299,0.06,281.06
02-06-2023,shirt,34.93,261.42,0.1,235.28
15-12-2022,jacket,120.97,227.03,0.07,211.14
09-08-2023,dress,49.19,79.47,0.35,51.66
07-10-2022,jacket,120.31,240.52,0.12,211.66
18-08-2022,shorts,71.11,97.8,0.39,59.66
23-09-2019,blouse,105.94,333.28,0.2,266.62
10-02-2024,trousers,21.02,133.97,0.15,113.87
07-08-2023,shirt,192.66,263.72,0.39,160.87
25-03-2023,tshirt,151.54,306.69,0.18,251.49
21-02-2020,tshirt,27,276.2,0.33,185.05
15-02-2023,jacket,10.24,62.82,0.21,49.63
17-04-2022,skirt,119.95,254.75,0.44,142.66
11-11-2022,trousers,104.23,343.26,0.28,247.15
22-03-2024,blouse,188.33,295.33,0.45,162.43
30-11-2019,dress,49.05,70.83,0.45,38.96
25-02-2022,dress,60.37,325.65,0.08,299.6
30-08-2019,tshirt,50.28,342.4,0.46,184.9
04-04-2021,shirt,176.91,377.68,0.49,192.62
28-09-2023,shorts,48.62,229.64,0.46,124.01
30-12-2019,jeans,137.68,428.79,0.24,325.88
14-04-2021,skirt,22.55,257.19,0.35,167.17
13-06-2022,shorts,139.96,386.66,0.1,347.99
11-02-2020,dress,85.62,286.23,0.27,208.95
22-07-2021,shorts,35.82,207.35,0.44,116.12
28-09-2020,jeans,158.18,350.23,0.44,196.13
07-11-2022,dress,167.47,348.67,0.29,247.56
09-09-2020,dress,50.65,166.01,0.47,87.99
23-07-2020,trousers,30.39,302.62,0.09,275.38
04-05-2024,jeans,43.25,83.21,0.49,42.44
05-11-2019,trousers,62.12,312.78,0.29,222.07
26-10-2019,trousers,154.81,257.5,0.19,208.58
29-06-2020,shirt,128.99,385.53,0.41,227.46
11-06-2024,trousers,104.25,197.21,0.31,136.07
24-02-2022,dress,183.02,241.07,0.35,156.7
11-07-2024,tshirt,32.62,99.99,0.44,55.99
22-04-2021,skirt,154.92,287.47,0.29,204.1
28-03-2022,trousers,121.47,210.06,0.23,161.75
29-04-2024,jacket,92.78,345.67,0.42,200.49
30-11-2023,dress,96.25,102.49,0.09,93.27
22-03-2020,tshirt,168.58,292.86,0.27,213.79
15-11-2022,dress,185.2,404.76,0.06,380.47
07-01-2022,dress,78.83,225.82,0.21,178.4
23-01-2022,skirt,41.02,337.44,0.39,205.84
22-02-2022,tshirt,61.4,353.65,0.21,279.38
25-05-2023,blouse,164.81,282.86,0.14,243.26
07-12-2023,dress,16.61,225.02,0.06,211.52
01-01-2023,jacket,151.41,179.31,0.1,161.38
17-04-2021,jeans,161.01,227.12,0.38,140.81
24-01-2020,trousers,46.83,107.46,0.47,56.95
27-05-2024,blouse,144.95,367.21,0.06,345.18
28-06-2023,tshirt,113.55,236.74,0.41,139.68
07-11-2022,saree,56.52,289.92,0.29,205.84
31-03-2024,skirt,196.32,369.83,0.46,199.71
17-09-2020,shorts,69.49,100.61,0.16,84.51
29-08-2023,shorts,56.66,348.13,0.4,208.88
07-11-2021,trousers,141.59,401.18,0.48,208.61
24-10-2021,saree,80.42,182,0.39,111.02
16-07-2023,jacket,88.64,223.19,0.42,129.45
18-06-2023,dress,122.26,266.56,0.45,146.61
18-07-2023,jacket,122.81,139.75,0.4,83.85
12-11-2023,jeans,182.71,267.89,0.14,230.39
23-07-2021,jeans,43.73,264.13,0.07,245.64
14-12-2021,jeans,85.36,277.62,0.16,233.2
14-04-2020,tshirt,34.97,186.78,0.25,140.08
07-04-2023,shorts,15.7,226.32,0.13,196.9
04-07-2022,jeans,97.95,126.54,0.47,67.07
25-07-2023,dress,46.94,271.18,0.15,230.5
04-08-2020,saree,138.29,347.4,0.43,198.02
20-10-2022,tshirt,74.13,347.47,0.25,260.6
28-11-2022,tshirt,159.08,370.26,0.18,303.61
09-05-2021,dress,98.84,220.11,0.08,202.5
28-01-2023,jacket,112.41,234.43,0.47,124.25
18-05-2024,jeans,56.67,308.69,0.33,206.82
19-06-2020,tshirt,153.09,449.02,0.13,390.65
22-11-2020,trousers,161.94,249.75,0.22,194.8
13-11-2021,saree,192.48,429.19,0.23,330.48
02-11-2020,jeans,23.46,132.04,0.27,96.39
15-07-2020,dress,91.64,115.43,0.07,107.35
13-12-2021,jacket,173.8,185.66,0.35,120.68
17-08-2020,skirt,121.85,279.64,0.39,170.58
28-07-2019,shirt,185.36,196.9,0.4,118.14
15-12-2021,skirt,147.96,169.78,0.41,100.17
29-01-2021,shorts,106.28,302.87,0.4,181.72
05-11-2019,shirt,37.22,167.28,0.4,100.37
19-03-2023,jeans,84.82,138.58,0.38,85.92
12-10-2020,dress,83.87,335.07,0.09,304.91
21-10-2019,saree,24.84,311.4,0.13,270.92
22-06-2024,shirt,147.07,439.1,0.1,395.19
20-10-2022,saree,155.81,409.61,0.1,368.65
02-11-2019,trousers,49.59,166.44,0.47,88.21
15-09-2023,blouse,91.91,192.44,0.36,123.16
01-08-2019,shirt,171.18,208.81,0.13,181.66
13-06-2020,shirt,64.72,333.36,0.14,286.69
03-04-2023,dress,184.68,473.72,0.2,378.98
11-05-2024,skirt,57.78,341.6,0.38,211.79
13-04-2020,jacket,179.73,270.22,0.44,151.32
11-09-2020,dress,175.37,319.69,0.49,163.04
05-05-2024,saree,48.85,129.11,0.39,78.76
07-03-2022,jacket,105.79,379.01,0.45,208.46
16-11-2020,tshirt,70.58,91.44,0.32,62.18
19-10-2023,saree,111.57,316.99,0.11,282.12
27-08-2023,jacket,158.1,207.72,0.34,137.1
29-11-2021,shorts,88.99,229.03,0.12,201.55
04-03-2022,jacket,19.54,191.82,0.39,117.01
23-11-2022,jacket,101.92,399.83,0.49,203.91
28-09-2023,trousers,42.87,122.48,0.11,109.01
26-01-2021,jeans,137.32,363.05,0.39,221.46
13-10-2021,shirt,194.82,455.68,0.46,246.07
26-11-2021,shirt,88.59,229.3,0.18,188.03
06-03-2022,jeans,143.96,417.64,0.5,208.82
08-02-2020,trousers,89.11,258.42,0.26,191.23
29-08-2023,shirt,103.31,315.45,0.11,280.75
14-01-2021,jeans,143.24,233.5,0.1,210.15
04-07-2023,tshirt,101.77,266,0.1,239.4
21-05-2024,trousers,134.77,317.86,0.49,162.11
08-10-2019,trousers,84.04,340.47,0.42,197.47
03-08-2019,trousers,143.17,255.12,0.49,130.11
11-08-2023,saree,13.94,189.3,0.36,121.15
08-02-2024,blouse,185.48,444.87,0.32,302.51
02-02-2024,shorts,155.73,438.85,0.29,311.58
22-12-2019,shirt,33.95,160.98,0.47,85.32
17-06-2021,shirt,106.68,311.93,0.32,212.11
19-08-2019,skirt,19.65,142.57,0.44,79.84
30-09-2021,saree,147.75,233.67,0.47,123.85
19-04-2021,tshirt,161.66,185.6,0.08,170.75
30-07-2019,shorts,16.78,221.71,0.28,159.63
25-12-2023,skirt,101.35,286.56,0.28,206.32
13-10-2022,blouse,76.46,189.8,0.05,180.31
15-11-2021,shorts,81.91,341.7,0.37,215.27
20-06-2022,trousers,89.84,255.16,0.4,153.1
07-12-2020,jacket,184.61,381.37,0.42,221.19
10-03-2021,shirt,122.04,299.24,0.05,284.28
26-08-2019,blouse,141.68,276.43,0.33,185.21
21-03-2022,trousers,80.04,240.54,0.1,216.49
25-06-2020,tshirt,121.57,142.74,0.29,101.35
14-09-2022,dress,136.31,275.51,0.18,225.92
15-03-2022,shirt,194.64,240.69,0.45,132.38
11-07-2023,saree,196.06,387.38,0.34,255.67
19-04-2021,tshirt,136.74,424.53,0.32,288.68
30-03-2020,jacket,118.71,372.7,0.28,268.34
14-11-2021,shorts,28.74,108.52,0.42,62.94
21-04-2023,trousers,35.31,151.24,0.5,75.62
09-02-2024,skirt,65.09,272.49,0.42,158.04
04-09-2020,trousers,88.96,312.28,0.41,184.25
26-02-2020,trousers,193.63,455.05,0.33,304.88
22-02-2020,shorts,173.98,455.27,0.47,241.29
18-09-2023,dress,75.37,330.29,0.41,194.87
30-01-2022,blouse,86.51,364.95,0.49,186.12
02-10-2022,skirt,99.4,213.03,0.08,195.99
05-08-2019,jeans,154.29,414.5,0.3,290.15
13-08-2019,skirt,128.82,389.46,0.17,323.25
16-05-2020,jeans,135.3,292.98,0.21,231.45
10-07-2024,skirt,24.53,289.43,0.32,196.81
